system_name,rom_name,1,2,3,4,5,6,7,8,1,2,3,4,5,6,7,8
*,1943.zip,on,on,off,off,off,off,off,off,on,on,off,off,off,off,off,off
*,3wonders.zip,on,on,off,off,off,off,off,off,on,on,off,off,off,off,off,off
*,altbeast.zip,on,on,on,off,off,off,off,off,on,on,on,off,off,off,off,off
*,armwar.zip,on,on,on,off,off,off,off,off,on,on,on,off,off,off,off,off
*,asterixaad.zip,on,on,off,off,off,off,off,off,on,on,off,off,off,off,off,off
*,avsp.zip,on,on,on,off,off,off,off,off,on,on,on,off,off,off,off,off
*,centiped.zip,on,off,off,off,off,off,off,off,on,off,off,off,off,off,off,off
*,cninja.zip,on,on,off,off,off,off,off,off,on,on,off,off,off,off,off,off
*,contra.zip,on,on,off,off,off,off,off,off,on,on,off,off,off,off,off,off
*,digdug.zip,on,off,off,off,off,off,off,off,on,off,off,off,off,off,off,off
*,dino.zip,on,on,off,off,off,off,off,off,on,on,off,off,off,off,off,off
*,dkong.zip,on,off,off,off,off,off,off,off,on,off,off,off,off,off,off,off
*,doubledr.zip,on,on,on,off,off,off,off,off,on,on,on,off,off,off,off,off
*,frogger.zip,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off
*,ga2.zip,on,on,on,off,off,off,off,off,on,on,on,off,off,off,off,off
*,galagao.zip,on,off,off,off,off,off,off,off,on,off,off,off,off,off,off,off
*,ghouls.zip,on,on,off,off,off,off,off,off,on,on,off,off,off,off,off,off
*,goldnaxe1.zip,on,on,on,off,off,off,off,off,on,on,on,off,off,off,off,off
*,kf2k2mp2.zip,on,on,on,on,off,off,off,off,on,on,on,on,off,off,off,off
*,knights.zip,on,on,off,off,off,off,off,off,on,on,off,off,off,off,off,off
*,kod.zip,on,on,off,off,off,off,off,off,on,on,off,off,off,off,off,off
*,kof97pls.zip,on,on,on,on,off,off,off,off,on,on,on,on,off,off,off,off
*,msh.zip,on,on,on,off,on,on,on,off,on,on,on,off,on,on,on,off
*,mslug.zip,on,on,on,on,off,off,off,off,on,on,on,on,off,off,off,off
*,mslug2.zip,on,on,on,on,off,off,off,off,on,on,on,on,off,off,off,off
*,mslug3.zip,on,on,on,on,off,off,off,off,on,on,on,on,off,off,off,off
*,mvsc.zip,on,on,on,off,on,on,on,off,on,on,on,off,on,on,on,off
*,mysticri.zip,on,on,off,off,off,off,off,off,on,on,off,off,off,off,off,off
*,nbbatman.zip,on,on,off,off,off,off,off,off,on,on,off,off,off,off,off,off
*,neobombe.zip,on,on,on,on,off,off,off,off,on,on,on,on,off,off,off,off
*,outrundx.zip,on,on,off,off,off,off,off,off,off,off,off,off,off,off,off,off
*,pacman.zip,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off
*,polepos.zip,on,on,off,off,on,off,off,off,on,on,off,off,on,off,off,off
*,primrage.zip,on,on,on,off,on,off,off,off,on,on,on,off,on,off,off,off
*,punisher.zip,on,on,off,off,off,off,off,off,on,on,off,off,off,off,off,off
*,rampage.zip,on,on,off,off,off,off,off,off,on,on,off,off,off,off,off,off
*,rtype.zip,on,on,off,off,off,off,off,off,on,on,off,off,off,off,off,off
*,qbert.zip,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off
*,sicv.zip,on,off,off,off,off,off,off,off,on,off,off,off,off,off,off,off
*,simpsons2p.zip,on,on,off,off,off,off,off,off,on,on,off,off,off,off,off,off
*,skykid.zip,on,on,off,off,off,off,off,off,on,on,off,off,off,off,off,off
*,suprmrio.zip,on,on,off,off,off,off,off,off,on,on,off,off,off,off,off,off
*,tmnt22pu.zip,on,on,off,off,off,off,off,off,on,on,off,off,off,off,off,off
*,umk3.zip,on,on,on,off,on,on,on,off,on,on,on,off,on,on,on,off
*,wjammers.zip,on,on,on,on,off,off,off,off,on,on,on,on,off,off,off,off
*,xmen2pa.zip,on,on,on,off,off,off,off,off,on,on,on,off,off,off,off,off
*,xmvsf.zip,on,on,on,off,on,on,on,off,on,on,on,off,on,on,on,off
